Time (s),Channel 1 (V)
-0.02559786361674579,0.7079509164849747
-0.02558536361674579,0.7079509164849747
-0.02557286361674579,0.7082955588987651
-0.02556036361674579,0.7079509164849747
-0.02554786361674579,0.7082955588987651
-0.02553536361674579,0.7079509164849747
-0.02552286361674579,0.7082955588987651
-0.02551036361674579,0.7082955588987651
-0.02549786361674579,0.7082955588987651
-0.02548536361674579,0.7082955588987651
-0.02547286361674579,0.7076062740711844
-0.02546036361674579,0.7079509164849747
-0.02544786361674579,0.7076062740711844
-0.02543536361674579,0.7079509164849747
-0.02542286361674579,0.530804715796737
-0.02541036361674579,0.4136262951080195
-0.02539786361674579,0.4136262951080195
-0.02538536361674579,0.4136262951080195
-0.02537286361674579,0.4136262951080195
-0.02536036361674579,0.4139709375218099
-0.02534786361674579,0.4132816526942292
-0.02533536361674579,0.4136262951080195
-0.02532286361674579,0.4132816526942292
-0.02531036361674579,0.4132816526942292
-0.02529786361674579,0.4129370102804388
-0.02528536361674579,0.4129370102804388
-0.02527286361674579,0.4129370102804388
-0.02526036361674579,0.4132816526942292
-0.02524786361674579,0.4125923678666485
-0.02523536361674579,0.4129370102804388
-0.02522286361674579,0.4129370102804388
-0.02521036361674579,0.4125923678666485
-0.02519786361674579,0.3057532195916414
-0.02518536361674579,-0.1774354445424233
-0.02517286361674579,-0.1760568748872619
-0.02516036361674579,-0.1753675900596812
-0.02514786361674579,-0.1750229476458909
-0.02513536361674579,-0.1743336628183102
-0.02512286361674579,-0.1739890204045199
-0.02511036361674579,-0.1739890204045199
-0.02509786361674579,-0.1743336628183102
-0.02508536361674579,-0.1736443779907295
-0.02507286361674579,-0.1732997355769392
-0.02506036361674579,-0.1732997355769392
-0.02504786361674579,-0.1732997355769392
-0.02503536361674579,-0.1736443779907295
-0.02502286361674579,-0.1732997355769392
-0.02501036361674579,-0.1736443779907295
-0.02499786361674579,-0.1732997355769392
-0.02498536361674579,-0.1736443779907295
-0.02497286361674579,-0.3673334145409037
-0.02496036361674579,-0.4686582841952654
